id,full_name,player_slug,position
ed9837ca-e903-46b2-8f2f-0b3c7a44db25,Aaron Brooks,aaron-brooks,QB
b37d5547-2d53-49d3-bad8-906860148f16,Aaron Jones,aaron-jones,RB
6de2b11d-1be3-428d-97f6-d3f89b636402,Aaron Rodgers,aaron-rodgers,QB
2fe6a941-fc8d-4588-8c5a-deb92e31c2e3,Adam Humphries,adam-humphries,WR
798fb1b6-3f57-4675-aca1-e1896112d533,Adam Thielen,adam-thielen,WR
d6e586f8-7d9c-4c56-843c-ee72f62da5a7,Adrian Bryson,adrian-bryson,RB
01bdec33-8423-4bdf-a0de-b2e8e3d62e18,Adrian Peterson,adrian-peterson,RB
f9199b14-a0c9-4dc6-b1f5-184eb9ce25af,Adriel Green,adriel-green,WR
0aff827a-4147-4749-bf67-03b3693d9555,Ahmad Bradshaw,ahmad-bradshaw,RB
ca9cc667-7494-4157-b55d-261a41efa587,Ahman Green,ahman-green,RB
56ca6a4d-e457-4493-a095-c19b3766f0d8,Albert Wilson,albert-wilson,WR
7ea587d0-5533-48b6-a6db-fcd51f843ff8,Alexander Collins,alexander-collins,RB
659ab985-445b-4b04-8660-edcc30bf489c,Alexander Mattison,alexander-mattison,RB
5feca194-bf9d-4893-bbd3-f98a026357f1,Alexander Smith,alexander-smith,QB
4e1a494b-e8c8-42a4-b517-923d96867d3f,Alfred Blue,alfred-blue,RB
e99db92a-5274-42d9-b46b-9d6e33115d27,Alfred Morris,alfred-morris,RB
c8dae891-e5e3-4115-9e8d-e8c8775ad2b6,Algiers Dillon,algiers-dillon,RB
a91ad910-31b9-4fb3-a23b-72f068260802,Allen Hurns,allen-hurns,WR
fc0801cf-6504-49c9-8638-4527fa4e0c03,Allen Lazard,allen-lazard,WR
876c90cc-3288-4a69-b627-e014cfe469b6,Allen Robinson,allen-robinson,WR
18b80136-69a0-4242-90ae-f97c55bb6611,Alshon Jeffery,alshon-jeffery,WR
24af9e32-4995-4651-9315-fbacf146f322,Alvin Kamara,alvin-kamara,RB
0d416692-cc40-4b11-ab03-4c1b7c6ee36b,Amani Toomer,amani-toomer,WR
866949e0-6f76-4316-a432-7593baa57a15,Amari Cooper,amari-cooper,WR
0f28fd30-e584-4c7a-b53d-dff2426c50c2,Ameer Abdullah,ameer-abdullah,RB
496652f8-1dc2-425d-8304-85f6cc908a13,Amon-Ra St. Brown,amon-ra-st-brown,WR
6d244db7-5e89-43d5-aeaa-cd3c9d0515d8,Amos Zereoue,amos-zereoue,RB
abaf70d5-959b-49d7-9637-23026f3fb44e,Andre Ellington,andre-ellington,RB
4e79bdff-66c1-4687-a10d-4e1da137d0c7,Andre Johnson,andre-johnson,WR
3b5299e4-6a0b-4c52-85bc-07baa804718e,Andre Roberts,andre-roberts,WR
fbc1bab6-420b-4430-87d3-2954e90e2849,Andrew Bennett,andrew-bennett,WR
b2121573-ab8e-4cb6-ac61-c57b6fe15030,Andrew Dalton,andrew-dalton,QB
ee4d3913-4520-4f91-bcde-6a5f03bf5c1d,Andrew Hawkins,andrew-hawkins,WR
97fe4723-e296-4b6e-8bf5-6365369d0346,Andrew Luck,andrew-luck,QB
adfcfcc9-a349-4cf3-b1a3-dfa15cf9156c,Anquan Boldin,anquan-boldin,WR
6a4545d2-9a7e-448f-bd0f-9296fbe7090d,Antarral Pinkston,antarral-pinkston,WR
cfee43a5-58ce-4394-9ee0-26ae40725584,Anthony Branch,anthony-branch,WR
4d6f1e29-53ea-4362-9631-d5367f35a1a8,Anthony Thomas,anthony-thomas,RB
ac964ffc-bc7b-4a13-ab5f-e6857885da46,Anthony White,anthony-white,RB
098f999b-deb1-4e59-98e4-1b4217d417aa,Antonio Brown,antonio-brown,WR
18ccf29b-bd52-463b-9527-92342110ea21,Antonio Bryant,antonio-bryant,WR
08aff993-35ce-454f-97b0-2b900cd0ed4a,Antonio Gibson,antonio-gibson,RB
8eb1df7f-06cb-470c-8ae0-c15355f9e2f5,Antonio Romo,antonio-romo,QB
af16b77b-2380-445b-905c-e4c2a1dcaa92,Antowain Smith,antowain-smith,RB
5ddc9941-4f2d-442e-ba69-365c7196ba75,Arian Foster,arian-foster,RB
98c97223-a0a5-490c-a946-47b492bf0cae,Arthur Brown,arthur-brown,WR
dc83cffc-12f9-4c4a-ada5-09adc440afd4,Ashley Lelie,ashley-lelie,WR
49016b85-3b4f-41bb-aa09-64efc3425a66,Atiim Barber,atiim-barber,RB
70522a8c-5a23-4998-9793-fa419e25027c,Augustus Edwards,augustus-edwards,RB
78e09597-8b73-419e-8366-779b2adc170e,Austin Collie,austin-collie,WR
a9bf4d7f-5de0-4556-b319-959ff0fa72bb,Austin Ekeler,austin-ekeler,RB
b900f56c-64e7-4e15-8e35-dfb4f877f563,Az-Zahir Hakim,az-zahir-hakim,WR
33b7b173-9fe5-4fbc-8934-a10a38a3921c,Baker Mayfield,baker-mayfield,QB
6cf5b8f3-ba7c-4dff-890f-0ac0751414d1,BenJarvus Green-Ellis,benjarvus-green-ellis,RB
44b4c21f-3fcf-4d17-9cfc-6f2009a81ead,Benjamin Roethlisberger,benjamin-roethlisberger,QB
1db2ac14-fa19-4d07-8734-cc0b47623618,Benjamin Tate,benjamin-tate,RB
6b4e60c1-4ba7-4a4b-8188-3c723ce79fb1,Bernard Berrian,bernard-berrian,WR
fd4f0391-f39c-487f-8ce6-239b9e44805e,Bernard Pierce,bernard-pierce,RB
2a7f8adf-f3ce-4259-9a7c-6485e03c7b8a,Bijan Robinson,bijan-robinson,RB
1158f660-b7af-45fb-9fb5-07809ed628da,Bilal Powell,bilal-powell,RB
83064734-c0e1-4192-aabc-01b86e760a46,Blaine Gabbert,blaine-gabbert,QB
eaafe01e-4935-46ff-a379-00ac5e846975,Brandin Cooks,brandin-cooks,WR
4af6b91a-756f-4c40-a37e-6571b981a4cd,Brandon Aiyuk,brandon-aiyuk,WR
a52a95c9-da62-47bb-a28f-961a60413e8c,Brandon Gibson,brandon-gibson,WR
babed1d0-e858-45df-bb7f-78593e550b49,Brandon Jacobs,brandon-jacobs,RB
ee66c7b2-6461-4367-8121-08f459198ec8,Brandon LaFell,brandon-lafell,WR
06b4c9ce-4d55-498c-9432-1f5f9e5ea367,Brandon Lloyd,brandon-lloyd,WR
bcce3986-cbbe-4e5d-91b7-aaa146424e4f,Brandon Marshall,brandon-marshall,WR
57fe136d-28f7-4b90-a62c-75c3e752da32,Brandon Stokley,brandon-stokley,WR
dbbc31a6-d9f1-41e5-8e64-e4e959922768,Brandon Weeden,brandon-weeden,QB
b93db5ab-fb2e-44b8-bf35-3e1721b4ef9f,Braylon Edwards,braylon-edwards,WR
abce4453-bdea-41e9-be35-afff98cd8789,Breece Hall,breece-hall,RB
0caac9cf-b925-412a-b447-99c39d40577e,Brett Favre,brett-favre,QB
a6267a34-5fab-4453-88e2-924eb2171766,Brian Finneran,brian-finneran,WR
61f34eb6-ab94-4a48-bb89-e2534ec6625c,Brian Griese,brian-griese,QB
60ef31da-4b12-4e89-9f4d-31543b207ea4,Brian Hartline,brian-hartline,WR
daad4627-b247-4e5e-ac1e-ec2b4ef2e960,Brian Hoyer,brian-hoyer,QB
9036ae61-7145-46e9-83c7-c975d15050ab,Brian Robinson,brian-robinson,RB
719f5476-ae98-44ec-8a4c-63dc88d2f1e1,Brian Westbrook,brian-westbrook,RB
bfd240b7-45d8-433b-879b-8e928ce58e6d,Brock Osweiler,brock-osweiler,QB
fba340d6-e12c-4018-8843-4e40b09fecce,Brock Purdy,brock-purdy,QB
fbad8aa1-857a-4423-a3a8-5f3353a49f87,Bryan Holcomb,bryan-holcomb,QB
5e235fc8-d14e-478e-b563-ae23f8ba730d,Bryant Johnson,bryant-johnson,WR
c8791931-1976-4dc8-9343-f1a0100f46fc,Bryce Young,bryce-young,QB
4d200222-8dfa-4478-b808-9335a279b2dd,Burnell Wallace,burnell-wallace,WR
5ed6aceb-5cc5-4df7-911e-7b88557f748b,Byron Leftwich,byron-leftwich,QB
f2d4e9db-db3d-476e-92f0-b5324afd78f2,Calvin Johnson,calvin-johnson,WR
673550fc-7c89-4958-995e-a3446ca60fd6,Calvin Ridley,calvin-ridley,WR
11e0f740-d4e9-4f99-ae7e-02fe941cf3c1,Cam Akers,cam-akers,RB
5fa7be43-b6e4-4419-8b74-6e9db3ff7866,Cameron Newton,cameron-newton,QB
20109fd8-80c3-4976-a8e0-e453976ba828,Carey Hardman,carey-hardman,WR
3b64781d-0dba-49c8-8ab7-2951510c2c68,Carlos Hyde,carlos-hyde,RB
3a0e79c7-f1f1-42ca-8e7e-3c4b188d14b5,Carnell Williams,carnell-williams,RB
5c97c302-c535-48fc-913d-8635e9324d3e,Carson Palmer,carson-palmer,QB
37dae35f-d706-47ba-9e24-51889de6316a,Carson Wentz,carson-wentz,QB
8b11236a-9d3b-430e-bef4-fb9ccb18259f,Casey Keenum,casey-keenum,QB
8cc14f1c-bd55-41a0-b76b-add78cf7a279,Cecil Shorts,cecil-shorts,WR
89402698-56f8-47e0-a635-2d4ece0741da,Cedarian Lamb,cedarian-lamb,WR
36a80e36-7376-4fc4-a311-65b32a08c572,Cedric Benson,cedric-benson,RB
138b7ed8-016b-4668-b2f9-baa37108b93c,Chad Henne,chad-henne,QB
24a7c5b1-47a5-459e-8050-6e1c06a9793b,Chad Johnson,chad-johnson,WR
c5a80cf6-f59d-48db-a099-8333c494c9c7,Charles Batch,charles-batch,QB
50df6637-ff21-42db-8638-aadc12a817ee,Charles Garner,charles-garner,RB
1fd11af0-bd89-4691-be7e-5abc75327bd1,Charles Thomas,charles-thomas,RB
1a8c643b-133c-49bc-9fa4-1b6d46dcb20a,Chase Edmonds,chase-edmonds,RB
b98ad29d-ebbd-4d0d-aea6-3f88218a8710,Chester Taylor,chester-taylor,RB
706e76ba-d933-4865-aa8a-9208778f1009,Chris Chambers,chris-chambers,WR
63d08818-4582-489e-a9bb-9f43a648a6db,Chris Wells,chris-wells,RB
8514a028-cf49-4307-896a-a55a77ed239a,Christian Conley,christian-conley,WR
e7b46521-8e03-483f-bd26-5ecd5e5d782a,Christian Kirk,christian-kirk,WR
bf522ba4-f03f-4444-bedb-d1c7b7f0e4f4,Christian McCaffrey,christian-mccaffrey,RB
5a0980e2-d364-4778-bd48-773d946a9603,Christian Ponder,christian-ponder,QB
5947879f-1158-4d82-93fc-862cca706543,Christopher Brown,christopher-brown,RB
ab0b43db-1377-4914-b00d-32fa93a39d5a,Christopher Carson,christopher-carson,RB
93365a50-dcde-49ee-bb32-1a40898d2454,Christopher Chandler,christopher-chandler,QB
b8274194-ab5f-4952-a710-ecf1acb3749b,Christopher Hogan,christopher-hogan,WR
b5d04a06-6583-4801-a78f-c6703c2ea94e,Christopher Ivory,christopher-ivory,RB
84130f34-928b-4bfc-a2d9-d1a55ba0da72,Christopher Johnson,christopher-johnson,RB
2b5f80c5-fe91-457e-a547-1023fcf390c3,Chuba Hubbard,chuba-hubbard,RB
08f821cb-6acd-4f39-a7d3-6bc29f167177,Clifford Spiller,clifford-spiller,RB
6d448731-321c-4641-8b01-dab40e24864f,Clinton Portis,clinton-portis,RB
3bbc4c66-5149-4329-9e67-dd1ba177ee58,Clyde Edwards-Helaire,clyde-edwards-helaire,RB
516aa134-c1df-466c-b042-9d28755c44eb,Cole Beasley,cole-beasley,WR
28abba30-6263-480c-8432-36c092a0a681,Coleridge Stroud,coleridge-stroud,QB
80b7620d-8e56-4f84-ba70-f8c4fcc03251,Colin Kaepernick,colin-kaepernick,QB
f7d06eb0-5025-4b07-a819-fe339edbe986,Cooper Kupp,cooper-kupp,WR
64107ce6-0d25-4815-90de-0f33a07d00de,Cordarrelle Patterson,cordarrelle-patterson,RB
a59c5159-1108-4fbd-80e7-90bd8c86cd20,Corey Davis,corey-davis,WR
a126be02-a71f-46b2-8a92-c680f4787c10,Corey Dillon,corey-dillon,RB
7c5e9ab8-7cb2-4a39-b29e-b96f667e6235,Correll Buckhalter,correll-buckhalter,RB
d17e74af-0548-49a7-819c-49a7907f919d,Cortrelle Anderson,cortrelle-anderson,RB
e2b17da7-9d87-46bc-9bd8-059a97de865b,Courtland Sutton,courtland-sutton,WR
269cb359-afca-4788-bcdf-48b92c122519,Curtis Conway,curtis-conway,WR
abdef712-93d3-40af-9fcd-06bc46eb3a26,Curtis Martin,curtis-martin,RB
ade02632-9f56-4ad7-a3c0-5bcc894b5b1a,Curtis Samuel,curtis-samuel,WR
65315b67-882f-4acb-80a0-aa4f3acae024,D'Andre Swift,d-andre-swift,RB
1739a817-5221-43db-981a-0a23ce5b35a1,D'Onta Foreman,d-onta-foreman,RB
39ab0512-eabb-47d6-96db-52509219886b,Dalvin Cook,dalvin-cook,RB
e100d3d0-9989-4b9e-ac56-6e6ea4197d8b,Dameon Pierce,dameon-pierce,RB
1bdbffd9-935e-4b0b-afe8-c035e1a900a0,Damien Harris,damien-harris,RB
5e5bb1f3-2fca-4da0-9b0b-caa95d23bdc0,Damien Williams,damien-williams,RB
85e45615-50d7-4b3d-8bec-73f749888473,Daniel Amendola,daniel-amendola,WR
b9d53e9d-8145-4fde-84a8-0279b76b212a,Daniel Jones,daniel-jones,QB
46b9c2ed-c0fb-4c9b-a6a9-bed3150e0999,Daniel McCoy,daniel-mccoy,QB
6daefc11-22b3-4136-80a0-124593c3049f,Daniel Thomas,daniel-thomas,RB
fe91be27-5919-4088-b9e8-160c0eae9181,Danny Woodhead,danny-woodhead,RB
b809cc50-1f06-454e-b4f6-793ed787d0ec,Darius Slayton,darius-slayton,WR
84502586-9736-4cea-a2b0-1305e93973c6,Darnell Mooney,darnell-mooney,WR
347b4040-96a0-4f52-b4a9-2c8321db9dd2,Darrell Chark,darrell-chark,WR
562d0c11-8937-4e43-a4de-f507551645c5,Darrell Henderson,darrell-henderson,RB
b70ce0bc-7ef7-47d7-8ee0-1e71dd7b824f,Darrell Jackson,darrell-jackson,WR
4d52185e-3ae9-4fb0-a623-fa4fa34a07a3,Darren McFadden,darren-mcfadden,RB
627c6f8d-a699-4e9c-82c7-49d2b51460db,Darren Sproles,darren-sproles,RB
022f6b2a-75f6-4856-8627-c405255fc8ca,Darrius Heyward-Bey,darrius-heyward-bey,WR
33fa0ea1-57ff-4854-8c14-d7b29b268104,Daunte Culpepper,daunte-culpepper,QB
d0ea8110-3257-4e6a-a36e-2abcf06d997a,Davante Adams,davante-adams,WR
c803f28c-9326-4c2d-8e3c-0f5a48494d46,David Boston,david-boston,WR
288627ca-3d7d-44f8-afef-b474b60c8823,David Carr,david-carr,QB
68f722c0-ade5-4e26-9bce-1ed944385cef,David Garrard,david-garrard,QB
7301418c-0d95-46ad-8a44-635f30246ec0,David Givens,david-givens,WR
4d246cce-7c95-4b67-87fc-1fb980bb2c9c,David Johnson,david-johnson,RB
55f113f6-f433-44dd-b13e-4163165672e9,David Montgomery,david-montgomery,RB
d8b54787-77c5-49f6-aa05-a43c7ffe14a7,David Patten,david-patten,WR
9e67eb11-bcf1-4275-b317-b1db90ff09b1,Davis Mills,davis-mills,QB
0f67ce81-eaaf-4437-8213-204e935b7d13,Davone Bess,davone-bess,WR
23b85edd-c979-46bc-9a05-8063ef5b69f1,DeAndre Hopkins,deandre-hopkins,WR
dbc212fb-6511-45d2-b395-94e1d92d5057,DeAngelo Williams,deangelo-williams,RB
7b409937-3783-4332-9951-11f1c338efe0,DeKaylin Metcalf,dekaylin-metcalf,WR
91b8178d-3978-40c0-b9fa-264c952ef418,DeMarco Murray,demarco-murray,RB
1675ba48-7c1f-448a-bc63-3d57ae7ef363,DeSean Jackson,desean-jackson,WR
f23fc215-249b-453f-b6cb-1d0b74e4311a,DeShaun Foster,deshaun-foster,RB
56cfbe5c-9aae-4228-aa07-12b9cc976da5,DeVante Parker,devante-parker,WR
758a6e65-aa86-4ec2-ab8d-ac4324729b09,DeVonta Smith,devonta-smith,WR
a8adfc95-ab56-4b4f-bc14-4cc1dd4d2093,Demarcus Robinson,demarcus-robinson,WR
14381f79-866d-4fb0-b353-edb7f15ec15e,Demaryius Thomas,demaryius-thomas,WR
3c30ca35-a68f-4ac0-a623-756fa7effbf3,Dennis Northcutt,dennis-northcutt,WR
36bdf513-7a7c-4147-8e13-161f007888cc,Denniston Moore,denniston-moore,WR
59ccbe2a-54de-43e4-b255-5ca857fe8cde,Derek Anderson,derek-anderson,QB
742ed947-92a7-4ddc-b613-5263479adbef,Derek Carr,derek-carr,QB
900e8cba-a052-4506-879c-59855067aed2,Derrick Gaffney,derrick-gaffney,WR
2496140d-a671-4122-a945-8a75b1b27a96,Derrick Henry,derrick-henry,RB
8e35d348-fcad-4187-b650-f832fd96448f,Derrick Mason,derrick-mason,WR
c59b5a8f-0b01-4c3a-b847-2893e3927cda,Derrick Ward,derrick-ward,RB
3ae721aa-f0c7-4f03-9d2d-8d33771923b2,Derrick Watson,derrick-watson,QB
6ef968ae-bac1-4edb-9c2c-57e52212da9e,Desmond Bryant,desmond-bryant,WR
db3f722b-04f6-4098-8ec3-65bd66151f98,Devery Henderson,devery-henderson,WR
d09ccec0-c774-4ac0-af20-868977fe48ea,Devin Hester,devin-hester,WR
053879c5-5bb4-4329-9d89-eb4733fa00c3,Devin Singletary,devin-singletary,RB
56c9f572-1e42-46e1-8f4a-7f938a490369,Devonta Freeman,devonta-freeman,RB
1e37f116-9484-4240-bae3-145949eb684f,Devontae Booker,devontae-booker,RB
ffe9d7b8-7e31-4188-a1ba-b070f7331436,Dexter McCluster,dexter-mccluster,WR
b95bb68d-3c74-46ad-9798-a89c4eec0dca,Dion Lewis,dion-lewis,RB
49164cab-d36e-470d-bce3-33f2dbeb482f,Diontae Johnson,diontae-johnson,WR
b42a2183-e2f9-45ee-a20b-f87a12f51d8a,Domanick Williams,domanick-williams,RB
a9d12494-62e3-4506-873d-6d4f119fe158,Dominic Rhodes,dominic-rhodes,RB
03a32bd6-754f-4a89-97bc-24bfa23baaac,Dominique Mostert,dominique-mostert,RB
205df031-2283-46b8-947f-590654dc704c,Donald Brown,donald-brown,RB
da9b5d20-d998-4ac4-b7a6-ce189a79e12c,Donald Driver,donald-driver,WR
745c0977-a884-4ab4-9460-c747f5e9410c,Donnie Avery,donnie-avery,WR
